OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB,if_pandemic
66389650,,577102,1.0,0.0,0.0,1.0,0.0,West,2018/2019,BROADWAY,THE QUADRANT,,Minor Crash,No,2019,0.0,East,0.0,0,0.0,Flat,0.0,,0.0,,0.0,Dark,2215500,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,Wellington Region,Nil,2-way,Sealed,0.0,0.0,0,0.0,50.0,0.0,On,0.0,0.0,,47,Wellington City,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,0
66389651,,573000,0.0,,0.0,2.0,,North,2018/2019,"DOMINION ROAD, BALMORAL, AUCKLAND",QUEENS ROAD,,Non-Injury Crash,No,2018,,Null,,0,,Flat,,,,,,Overcast,2127400,0,0.0,0.0,2.0,,,0.0,,,,,,Wellington Region,Nil,2-way,Sealed,,0.0,0,,50.0,,Off,0.0,0.0,,47,Wellington City,Unknown,,,,,0.0,0.0,Urban,0.0,,,Fine,Null,0
66389661,,576901,0.0,,0.0,1.0,,Null,2017/2018,TROY ST,KEMP ST,,Non-Injury Crash,No,2018,,North,,0,,Flat,,,,,,Bright sun,2177000,0,0.0,0.0,4.0,,,0.0,,,,,,Wellington Region,Nil,2-way,Sealed,,0.0,0,,50.0,,Null,0.0,0.0,,47,Wellington City,Give way,,,,,0.0,0.0,Urban,1.0,,,Fine,Strong wind,0
66389664,,573522,0.0,0.0,0.0,1.0,0.0,South,2017/2018,SH 1N,TAWA ON SBD,,Non-Injury Crash,Yes,2018,0.0,South,0.0,0,0.0,Flat,0.0,Queens Birthday,0.0,,0.0,Dark,2086311,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,Wellington Region,Nil,1-way,Sealed,0.0,0.0,0,0.0,100.0,0.0,None,0.0,0.0,,47,Wellington City,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Open,1.0,0.0,0.0,Light rain,Strong wind,0
66389682,,574701,0.0,0.0,0.0,0.0,0.0,Null,2018/2019,WINSTON STREET,CAVALRY CLOSE,,Non-Injury Crash,No,2018,0.0,Null,0.0,0,0.0,Hill Road,0.0,,0.0,,0.0,Unknown,2104905,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,Wellington Region,Nil,2-way,Sealed,0.0,0.0,0,0.0,50.0,0.0,Null,1.0,0.0,,47,Wellington City,Nil,0.0,0.0,0.0,0.0,0.0,1.0,Urban,0.0,0.0,0.0,Null,Null,0
66389685,,572900,0.0,,0.0,1.0,,North,2017/2018,TINAKORI ROAD,ASCOT ST,,Serious Crash,No,2018,,North,,0,,Flat,,,,,,Dark,2121700,0,1.0,0.0,2.0,,,0.0,,,,,,Wellington Region,Nil,2-way,Sealed,,0.0,1,,30.0,,On,0.0,0.0,,47,Wellington City,Nil,,,,,0.0,0.0,Urban,0.0,,,Fine,Null,0
66389689,,576200,0.0,0.0,0.0,2.0,0.0,North,2017/2018,RINTOUL ST,LUXFORD ST,,Non-Injury Crash,No,2018,0.0,South,0.0,0,0.0,Hill Road,0.0,,0.0,,0.0,Bright sun,2171700,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,Wellington Region,Nil,2-way,Sealed,0.0,0.0,0,0.0,50.0,0.0,Null,0.0,0.0,,47,Wellington City,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Fine,Null,0
66389709,,576500,0.0,,1.0,1.0,,South,2017/2018,ADELAIDE ROAD,SH 1N,,Non-Injury Crash,No,2018,,North,,0,,Flat,,,,,,Bright sun,2148000,0,0.0,0.0,4.0,,,0.0,,,,,,Wellington Region,Nil,2-way,Sealed,,0.0,0,,50.0,,Null,0.0,0.0,,47,Wellington City,Unknown,,,,,0.0,0.0,Urban,0.0,,,Fine,Null,0
66389724,,572900,0.0,0.0,0.0,1.0,0.0,South,2017/2018,AOTEA QUAY,RLY YARD ENT S,,Non-Injury Crash,No,2018,0.0,North,0.0,0,1.0,Flat,1.0,Queens Birthday,0.0,,0.0,Dark,2118400,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Wellington Region,Nil,2-way,Sealed,0.0,0.0,0,0.0,50.0,0.0,On,0.0,0.0,30.0,47,Wellington City,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,Urban,0.0,0.0,0.0,Light rain,Null,0
66389738,,573000,0.0,,0.0,1.0,,Null,2018/2019,WELLINGTON URBAN MOTORWAY,CLIFTON TERRACE ON RAMP,,Non-Injury Crash,Yes,2019,,North,,0,,Flat,,,,,,Unknown,2124900,0,0.0,0.0,4.0,,,0.0,,,,,,Wellington Region,Motorway ramp,2-way,Sealed,,0.0,0,,100.0,,None,0.0,0.0,,47,Wellington City,Nil,,,,,1.0,0.0,Open,0.0,,,Null,Null,0
