OBJECTID,alcohol_store,distance_to_store (meters),distance_to_store_km
66390252,JK Liquor,6830.680229146446,6.830680229146447
66390282,Liquorland,610.5442960560082,0.6105442960560082
66390382,JK Liquor,2367.5792741801283,2.3675792741801285
66390460,Thirsty Liquor,1638.2755017528632,1.6382755017528632
66390500,Regional Wines and Spirits,938.1665793632907,0.9381665793632907
66390602,Liquorland,234.50266314750542,0.23450266314750542
66390619,Discount Liquor Centre,275.2836962552127,0.2752836962552127
66390629,Regional Wines and Spirits,591.7809262146252,0.5917809262146252
66390631,Regional Wines and Spirits,499.6438244765083,0.4996438244765083
66390633,Cuba Liquor World,264.3166781190863,0.2643166781190863
66390672,Super Liquor,5519.127303927943,5.519127303927943
66390702,nan,1300.2814591549536,1.3002814591549536
66390721,Glengarry Wines,4293.793382043539,4.293793382043539
66390746,Discount Liquor Centre,2449.8926185581327,2.4498926185581325
66390751,Discount Liquor Centre,540.7851684836013,0.5407851684836013
66390761,JK Liquor,901.4140238017802,0.9014140238017803
66390764,Super Liquor,1571.9944058302685,1.5719944058302686
66390765,Regional Wines and Spirits,265.687865539089,0.26568786553908896
66390767,Thirsty Liquor,1497.245884167017,1.497245884167017
66390773,Cuba Liquor World,688.036279521002,0.688036279521002
66390779,JK Liquor,3467.21195052954,3.46721195052954
66390796,nan,1601.5466348411906,1.6015466348411906
66390823,Regional Wines and Spirits,187.46415728734237,0.18746415728734236
66390917,Glengarry Wines,532.5018455887382,0.5325018455887383
66390928,Liquorland,289.895957945231,0.289895957945231
66390939,JK Liquor,2329.7723892570257,2.329772389257026
66390944,Discount Liquor Centre,2733.2136671910807,2.7332136671910807
66390971,JK Liquor,3720.623879888068,3.720623879888068
66390972,Discount Liquor Centre,2117.909347927285,2.1179093479272852
66390996,JK Liquor,65.77042221486288,0.06577042221486287
66391058,Liquorland,188.71798229397965,0.18871798229397965
66391064,nan,878.0199890260471,0.8780199890260472
66391115,JK Liquor,3785.7386618647165,3.7857386618647166
66391178,Discount Liquor Centre,1120.431465509989,1.120431465509989
66391200,Regional Wines and Spirits,415.3759233084851,0.4153759233084851
66391216,Discount Liquor Centre,540.7851684836013,0.5407851684836013
66391236,Discount Liquor Centre,100.18592478407813,0.10018592478407813
66391264,JK Liquor,2586.1656652394863,2.5861656652394864
66391268,Cuba Liquor World,181.80794368390764,0.18180794368390762
66391303,nan,937.1703319258299,0.93717033192583
66391336,Discount Liquor Centre,1468.5518983308289,1.4685518983308288
66391342,Liquorland,1506.6695118199586,1.5066695118199587
66391359,JK Liquor,930.3234746674643,0.9303234746674643
66391377,JK Liquor,2081.5896527852865,2.0815896527852864
66391394,JK Liquor,4069.099415770827,4.069099415770827
66391399,Regional Wines and Spirits,2831.0068088163553,2.831006808816355
66391413,JK Liquor,4030.19356500149,4.03019356500149
66391457,JK Liquor,2823.483962806351,2.823483962806351
66391460,Regional Wines and Spirits,461.91291712541516,0.46191291712541516
66391496,The Bottle-O,2447.2154656549487,2.4472154656549487
66391498,nan,1382.019385719266,1.382019385719266
66391509,Regional Wines and Spirits,872.1280790528042,0.8721280790528042
66391578,Super Liquor,879.3282337734327,0.8793282337734326
66391598,Cuba Liquor World,243.76877905840917,0.24376877905840916
66391615,JK Liquor,2106.343255322095,2.106343255322095
66391617,Garage Project,397.39326806689155,0.39739326806689157
66391654,Discount Liquor Centre,3331.4462410277433,3.3314462410277432
66391680,The Bottle-O,1621.9535241141161,1.621953524114116
66391811,Cuba Liquor World,48.64911334196393,0.04864911334196393
66391848,Liquorland,349.84624495260675,0.34984624495260674
66391863,Super Liquor,590.2830179961483,0.5902830179961482
66391867,Discount Liquor Centre,586.6709862430228,0.5866709862430227
66391885,Discount Liquor Centre,1530.5550549791008,1.5305550549791007
66391918,JK Liquor,2229.1608766100017,2.2291608766100017
66391922,The Cellar Room,1232.4756801473402,1.2324756801473402
66391938,Discount Liquor Centre,454.708013589436,0.454708013589436
66391992,Glengarry Wines,615.4381852016768,0.6154381852016768
66391996,The Cellar Room,34.42955487217414,0.03442955487217414
66392006,Cuba Liquor World,1223.6144542733862,1.2236144542733862
66392035,Regional Wines and Spirits,507.4228247680982,0.5074228247680982
66392085,Liquorland,627.9929519554561,0.6279929519554561
66392087,Thirsty Liquor,1451.1634519735076,1.4511634519735075
66392093,Cuba Liquor World,30.90616149725234,0.03090616149725234
66392103,Glengarry Wines,470.2375850935787,0.47023758509357866
66392120,The Bottle-O,3031.3723008187585,3.0313723008187585
66392121,JK Liquor,986.1964561671225,0.9861964561671225
66392147,Discount Liquor Centre,4298.64725829458,4.29864725829458
66392182,Discount Liquor Centre,1757.002924007121,1.757002924007121
66392198,JK Liquor,3301.4873930086596,3.3014873930086597
66392233,nan,518.1181286157029,0.5181181286157028
66392254,Discount Liquor Centre,552.8997739875027,0.5528997739875027
66392298,JK Liquor,919.0484898922533,0.9190484898922533
66392308,Discount Liquor Centre,4209.354545283246,4.2093545452832455
66392342,Discount Liquor Centre,1198.8067910298612,1.1988067910298612
66392352,Cuba Liquor World,618.0856183648784,0.6180856183648784
66392376,Liquorland,346.37593091253126,0.34637593091253127
66392398,nan,1401.5163605216715,1.4015163605216714
66392400,Liquorland,133.0420529674502,0.1330420529674502
